标题,日期,链接,内容,来源
中国人民政治协商会议第十三届山西省委员会常务委员会关于曹亮等同志职务任免的决定,2025-10-01,http://www.sx.xinhuanet.com/20251012/635492348c97449686428cec3db28323/c.html,"新华网
> 正文
2025
10
/
12
08:47:40
来源：山西日报
中国人民政治协商会议第十三届山西省委员会常务委员会关于曹亮等同志职务任免的决定
字体：
小
中
大
分享到：
中国人民政治协商会议第十三届山西省委员会常务委员会关于曹亮等同志职务任免的决定
2025-10-12 08:47:40
来源：山西日报
原标题：中国人民政治协商会议第十三届山西省委员会常务委员会关于曹亮等同志职务任免的决定
（2025年10月11日政协第十三届山西省委员会常务委员会第十五次会议通过）
中国人民政治协商会议第十三届山西省委员会常务委员会第十五次会议决定：
曹亮同志任省政协副秘书长；
乔桂香同志任省政协提案委员会副主任；
成晓龙同志任省政协教科卫体委员会副主任。
免去曹亮同志的省政协经济委员会副主任职务。
【纠错】
【责任编辑:赵睿】
阅读下一篇：
中国人民政治协商会议第十三届山西省委员会常务委员会关于曹亮等同志职务任免的决定",新华网
非遗品牌焕新计划启幕 以文化为桥促中外经贸文旅深度融合,2025-10,http://www.news.cn/travel/20251030/5730044d93c8404784d9a967e3c4b088/c.html,内容获取失败,新华网
华服“舞动”中原 激活文旅融合新动力,2025-10,http://www.news.cn/travel/20251029/ead6fd1861a541228903c052235473e8/c.html,内容获取失败,新华网
文旅新探|千泉竞涌，在济南与泉不期而遇,2025-10,http://www.news.cn/travel/20251024/dbf08f6b5eb44f35829f7c8d7a22961f/c.html,内容获取失败,新华网
为涪陵“上大分”！文旅主任有话说,2025-10,http://www.news.cn/travel/20240529/0de2d4cb6f8544cc9d90c1e09ba9f9af/c.html,内容获取失败,新华网
为本溪“上大分”！文旅局长有话说,2025-10,http://www.news.cn/travel/20240524/ce945b3fce4b415e88e9dfbb01de7cb3/c.html,内容获取失败,新华网
看见2024｜全国工商联旅游业商会会长吉小冬：文娱旅游将引领旅游消费新风尚,2025-10,http://www.news.cn/travel/20240301/b630a80470fd4633a95f90dd084f3a3d/c.html,内容获取失败,新华网
山西文旅康养集团召开10月份安全生产工作例会,2025-10,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS8Yb2aZgmg8WIm9-9jK3N9zMFPaYgvCOWVqXa8Fplpd9a3q5t2OgQ3aIa0tBQwXrY8P9KibRxbjK8MGRI2ufNRohKT6aMB3ztxgIGCBmGD90YhWW9cDpR1TBskyVMbS68cnFGPEzPqqCqVLoi2WnWydsWYf2KoCXnLVBgoUqHUSZ1djK0blNQ_4EfZJXwbkNTqh_4ExCMwKAV_xuz5IIcc3drgozfSg6bw..&type=2&query=%E5%B1%B1%E8%A5%BF%E6%96%87%E6%97%85 10%E6%9C%88&token=D11B90492EAAA1C1B0B6F2CEC3DDF4E8B0541E9A69037C1A,"10月28日,山西文旅康养集团召开10月份安全生产工作例会,康养集团副总经理马伯群对下阶段安全生产工作作出安排部署,会议还...",微信公众号
10月7日山西文旅年卡最新消息:山西文旅年卡价格、使用流程及预约方式,2025-10-07,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS8Yb2aZgmg8WIm9-9jK3N9zMFPaYgvCOWVqXa8Fplpd9ut0AMjml7sU0pXoUqIGM2jVOCE_BZMeT3EUSjAD55FNaomGjA10aOCZr9RTdlRbfZ2Mw0y0gwa3KS8kN0FaBOVMzp7uDvbykvRQMToq0pSZ39YXxpmy7vHzLl4AAc7Rv57jZv5ITmLb0izhc-VUlhnkZ16k7K0eB-dsECn4CVx_s46dn8Efgxg..&type=2&query=%E5%B1%B1%E8%A5%BF%E6%96%87%E6%97%85 10%E6%9C%88&token=D11B90492EAAA1C1B0B6F2CEC3DDF4E8B0541E9A69037C1A,【山西文旅年卡10月7日快讯】为什么说山西文旅年卡优惠力度惊人?我们来算一笔账:年卡通常包含几十家甚至上百家山西的顶级景...,微信公众号
10月29日山西文旅年卡最新消息:山西文旅年卡价格、办理、激活、景点及亮点,2025-10,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS8Yb2aZgmg8WIm9-9jK3N9zMFPaYgvCOWVqXa8Fplpd9ut0AMjml7sU0pXoUqIGM2jVOCE_BZMeT3EUSjAD55FNaomGjA10aOIw9ZP79yTse6swRpu1OKqWfXCwAtQzFRfzDOEUZDzV8M9SZKQ5A4oEjuitXwlwYdBIBcBTE_PoEWNRe4zo01yXO7_uAYMhvLZEdm-4lrZsJo3S75HhfSi-E8RsmObDbtQ..&type=2&query=%E5%B1%B1%E8%A5%BF%E6%96%87%E6%97%85 10%E6%9C%88&token=D11B90492EAAA1C1B0B6F2CEC3DDF4E8B0541E9A69037C1A,"【山西文旅年卡10月29日快讯】对于游客最关心的 “2026山西文旅年卡价格”,今年的定价十分亲民,单人年卡价格仅需258元.要...",微信公众号
山西文旅年卡多少钱?10月卡办理入口及包含景点全攻略,2025-10-05,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS8Yb2aZgmg8WIm9-9jK3N9zMFPaYgvCOWVqXa8Fplpd9E7izaEnz6B29eBbl3WU00WVp8YRr0sQVxjkI6X1j1V2-j5jQJEWaNARF8skdkl3D2IhkTcwvdl7S7Zq2Rh6mylkla08ZdYvbKMoxUSS07PgVmHOD92SXhLFyge_-HRfgo2Mvpx4e83hQlII8DvgKPSGSNXjW2OQBtJ1MAJa6WQwYJSSFPgfogQ..&type=2&query=%E5%B1%B1%E8%A5%BF%E6%96%87%E6%97%85 10%E6%9C%88&token=D11B90492EAAA1C1B0B6F2CEC3DDF4E8B0541E9A69037C1A,"【山西文旅年卡10月5日快讯】“表里山河” 山西的人文底蕴与自然奇景,如今一张年卡即可轻松拥有.2025年山西文旅年卡以258元...",微信公众号
山西文旅晋中汇诚公司召开10月重点工作推进会,2025-10,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS8Yb2aZgmg8WIm9-9jK3N9zMFPaYgvCOWVqXa8Fplpd9Bu-vMD393hy6PNAJHcfdE7bHmS_7bsk25D5ol_z6Qm2oYmD2qkAs7nwwaIJNi8uz8fm_03FbYfi6BbijdO38GyiPsHyLpiq9KGxenedj2MfXKpnUVj_H06l8VZOPGZQCOhUGyUkZTvzgTi8T8aV9dyN9mj0G70Mgf2ry9QycYV-54z_tGSZTqA..&type=2&query=%E5%B1%B1%E8%A5%BF%E6%96%87%E6%97%85 10%E6%9C%88&token=D11B90492EAAA1C1B0B6F2CEC3DDF4E8B0541E9A69037C1A,"10月12日,山西文旅晋中汇诚公司召开10月重点工作推进会.文旅集团党委常委、副总经理,晋中汇诚公司党委书记、董事长刘娟主...",微信公众号
10月山西文旅年卡怎么办理?山西旅游年卡官方入口及使用流程详解,2025-10-02,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS8Yb2aZgmg8WIm9-9jK3N9zMFPaYgvCOWVqXa8Fplpd9E7izaEnz6B29eBbl3WU00WVp8YRr0sQVxjkI6X1j1V2-j5jQJEWaNNZGzhuTMCTlenH1aIQx10_cdaYgmjGUJ8atwVX0WM3fZzZQtfQ7a1EhHeDE5oWh0pYdqcZAK2i1I0l6vjyWY7dWb0CIOo16JrAWN6NStACKA5hAKvriJjZAe0f8bRARvQ..&type=2&query=%E5%B1%B1%E8%A5%BF%E6%96%87%E6%97%85 10%E6%9C%88&token=D11B90492EAAA1C1B0B6F2CEC3DDF4E8B0541E9A69037C1A,"【山西文旅年卡10月2日快讯】随着2025年山西文旅市场的全面升温,山西文旅年卡迎来了全新升级.这张仅售258元的小卡片,实则...",微信公众号
山西文旅资讯榜第274期(2025.10.19-2025.10.25),2025-10-01,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS8Yb2aZgmg8WIm9-9jK3N9zMFPaYgvCOWVqXa8Fplpd9JY4phS8HLuI-dSeCy0qr3Xbh9drnQWmUOFGzAjKF3na5u2aooai4EDhSVXU5fSJh_czPWYhr20-BmWkvLklozZDobcd4tuv3QJ9evs__YUT2QwHr2cNpLw19NGl0OZfJgRWOjPU19W-IAEei503L0BceVSx7mtm01XBqe7ULkMnI3OTRHYU2og..&type=2&query=%E5%B1%B1%E8%A5%BF%E6%96%87%E6%97%85 10%E6%9C%88&token=D11B90492EAAA1C1B0B6F2CEC3DDF4E8B0541E9A69037C1A,"(2025年10月23日 | 来源:中央广播电视总台《廉政中国》山西频道)借电影IP宣推山西文旅的生动实践近日,省文旅厅与《浪浪山小...",微信公众号
基层动态 |山西文旅国有资产公司召开十月诉讼专项会,2025-10,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS8Yb2aZgmg8WIm9-9jK3N9zMFPaYgvCOWVqXa8Fplpd9-RA_H7JlRj5JkHqD-H00ttW6b8e3wiA-ycp_gQRg89mE7Icxh4pB80Wpzpb8c1Dx0PtzMCfXUSZvSfZyo2Xn9IhptFt9uRlZebSNPK3sBPYs-EAMzeiCkUo2O_YXSl0CgwM5qEDl839jTHoBu3Nc3qMaCj-I_dOP96hpviPvsIU89kyxDwoXvg..&type=2&query=%E5%B1%B1%E8%A5%BF%E6%96%87%E6%97%85 10%E6%9C%88&token=D11B90492EAAA1C1B0B6F2CEC3DDF4E8B0541E9A69037C1A,"近日,山西文旅国有资产公司组织召开了十月诉讼专项会,公司领导班子成员、中层管理人员及各诉讼案件的代理律师参加了会议....",微信公众号
"10月28日山西文旅年卡最新消息:年卡全流程指南,价格,办理方式及包含景点",2025-10,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS8Yb2aZgmg8WIm9-9jK3N9zMFPaYgvCOWVqXa8Fplpd9ut0AMjml7sU0pXoUqIGM2jVOCE_BZMeT3EUSjAD55FNaomGjA10aOPKyBweccjZro2QnpeX5JE6xe9SLacbjQdqUE4gxEDabchjY4Ad1gX0uVM1YPIM0g3VkfArlJ2SCITHFoPZPvLNqqR-GUGx7Xv6sBrT1AaAaGtW5UbaNU5Nr1dbZWbKUeQ..&type=2&query=%E5%B1%B1%E8%A5%BF%E6%96%87%E6%97%85 10%E6%9C%88&token=D11B90492EAAA1C1B0B6F2CEC3DDF4E8B0541E9A69037C1A,"【山西文旅年卡10月28日快讯】山西文旅年卡凭借高性价比、丰富景点覆盖等优势,成为不少游客畅游山西的首选.本文将围绕大家最...",微信公众号
10月国庆来山西旅游的注意了,2025-10,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS8Yb2aZgmg8WD_VJk0Jxo7nMFPaYgvCOWVqXa8Fplpd9dzmgkaCTvKNmS0EoP3vGiqvOeAv4VOISYis2i0Bncx1y0oCxE8Gd9tWbzrmfY7kDXl2UJOB20E_7-BJyTZwzVA9dezkr7Ga-p_wW58-_MeElY7lV8LZgzYU1UU6C5yFFjXLEQp9aLE9oZbeyh6u8smqauaZnQKBiI4YhUCZAvQVQ_LeJW-Rhtg..&type=2&query=%E5%B1%B1%E8%A5%BF%E6%97%85%E6%B8%B8 10%E6%9C%88&token=D11BA8892EAAA1C1B0B6F2CEC3DDF4E8B0541E9A69037C21,"10月来山西旅游的注意了,天气到底啥样?穿什么衣服最合适?得花多少钱?保姆级攻略全给你们整明白了.10月山西气温15~25°左...",微信公众号
山西旅游不踩坑!10大必打卡景点预约全攻略+住宿美食红黑榜!看完省下50%预算,2025-10,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS8Yb2aZgmg8WD_VJk0Jxo7nMFPaYgvCOWVqXa8Fplpd9kBmGY1mpcdJKOIihYxXQRZQLSc6D9_1TBe9cQva8nM34UyyaMPPFkFycYxKoiBrscLWTTR1jL1Mp-oJxgA1wgTa_eDMdg4c1EVW2bWXT6bdrvJkwzymyzWSMBBTF-WRoXgpA6Vo_5rzCMlWQardl-HTHgmJ-BvWHmNU-Alepq6DS-e4Yz84xMA..&type=2&query=%E5%B1%B1%E8%A5%BF%E6%97%85%E6%B8%B8 10%E6%9C%88&token=D11BA8892EAAA1C1B0B6F2CEC3DDF4E8B0541E9A69037C21,"山西旅游终极攻略来啦!＂山西的魅力,需要我们放慢脚步,慢慢... 带身份证雁门关90元4-10月8:00-17:3011-3月8:30-17:00GZH“雁...",微信公众号
【揭之旅】10月8/12日山西全景五台山.平遥古城、乔家大院纯玩太原双飞六日游 3850元/人,2025-10,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS8Yb2aZgmg8WD_VJk0Jxo7nMFPaYgvCOWVqXa8Fplpd9yNCzeQrgvx9s3BcbwgiwCLqKxy1QjDiME6u-mJfc0-0KUnSJuNyj_2DVT6DXDfAzXr3KxCUURJfq0sG3AO8CO2ConeAmrJobeszj3QXkR2BfoxFfLGupC17CfURvV8VHxw6Co6tErYu2ETFrG-d53AivULJa0awjlu8soRvmC_0SYTqT4eyLmA..&type=2&query=%E5%B1%B1%E8%A5%BF%E6%97%85%E6%B8%B8 10%E6%9C%88&token=D11BA8892EAAA1C1B0B6F2CEC3DDF4E8B0541E9A69037C21,山西太原、五台山、云冈石窟、平遥古城、乔家大院、壶口瀑布、悬空寺、晋祠、太原古县城双飞六天游出发日期:10月8/12/15/17/19...,微信公众号
十月旅游去哪儿•山西篇,2025-10,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS8Yb2aZgmg8WD_VJk0Jxo7nMFPaYgvCOWVqXa8Fplpd9NBumBfqPcAnMCTdIK_Soi-9R19v2wB7EC3rlsTxpP70RPG5PUVHYDB-YfXehTi83CqjoJAJ8hgEhRoFYURbKKHdjg2UVcZHsSN8hDQosLmvmOLduTfFgl4PrIDotEdKoSyrx7UcFU6UgpFiZBtAivftchbKhSx47Qhb-ANBv1Nn2CsG6-xMgzQ..&type=2&query=%E5%B1%B1%E8%A5%BF%E6%97%85%E6%B8%B8 10%E6%9C%88&token=D11BA8892EAAA1C1B0B6F2CEC3DDF4E8B0541E9A69037C21,"十月是游览山西的黄金季节,秋高气爽,层林尽染,尤其是古建、梯田与秋色交织,风景绝美.山西被誉为“中国古代建筑艺术博物馆...",微信公众号
车站带您去旅游惠民游 ||10月18日直达山西深度纯玩六日游,2025-10,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS8Yb2aZgmg8WD_VJk0Jxo7nMFPaYgvCOWVqXa8Fplpd9qYGGYeMfN9TuXS-QPb3J3z4xvBeCjH8ArHJN0Q3utH4OKQ-DXwy5caU96lsGHQmTBzIjCqtQEZhJPZpOMpRx7xJ4vC0WwDTi34_phDi88KMEa-lJZpJsfFfN6GLw4DlAtK_mIJkmVMoEp7iV9N68A_JpaBZFrS3kzc1ijpEbNeUGX_iHL9MadA..&type=2&query=%E5%B1%B1%E8%A5%BF%E6%97%85%E6%B8%B8 10%E6%9C%88&token=D11BA8892EAAA1C1B0B6F2CEC3DDF4E8B0541E9A69037C21,发团日期10月18日(周六)联系方式0537-7336369  18353783368报名地址梁山汽车站东门西邻  车站旅游租车办公室简版行程JIAN ...,微信公众号
【9-10月】山西旅游线路~,2025-10,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS8Yb2aZgmg8WD_VJk0Jxo7nMFPaYgvCOWVqXa8Fplpd9xjppzeVcJuwWH5OSf0gs5ib8K3r__lz1rIKxETeLs2TaZ_s3pO87pom3s3x44QuFaZ2OcBBk4nFjtUCZVX9blzpEZjoXJ4adFtofPsEPtDiB8q93srn2xdOIytVwELklmLcDe9_Amb2SGgFhPnukLGK81AloQ2uAoBIYIqjh6hw89kyxDwoXvg..&type=2&query=%E5%B1%B1%E8%A5%BF%E6%97%85%E6%B8%B8 10%E6%9C%88&token=D11BA8892EAAA1C1B0B6F2CEC3DDF4E8B0541E9A69037C21,"18928682123 沈经理将有专业的旅游顾问为您服务.※ 公众号首页留言:姓名+联系方式+目的地,我们的客服人员会主动联系您!",微信公众号
"【快乐旅行•假日同行】10月17/24日￥4580元,山西省博物馆、云冈石窟、悬空寺、五台山、平遥古城、乔家大院双飞六日游",2025-10,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS8Yb2aZgmg8WD_VJk0Jxo7nMFPaYgvCOWVqXa8Fplpd9Tw_WiImAIfmd8sCGI9mL9xBBrnlfE3gjhcmfpkGuEoN9YaLHTGnDypcd8Cvq1ikczMLexI6o-ffswmv5JOmw5r7bpSkGX5avVcxIzor1If0skH50-K0PQco9dufL-oiUj5iMZkfBYEeb_EpOT3Koi7B0WcsSR-evAnxUCVMrgJJCy6umSSPEsg..&type=2&query=%E5%B1%B1%E8%A5%BF%E6%97%85%E6%B8%B8 10%E6%9C%88&token=D11BA8892EAAA1C1B0B6F2CEC3DDF4E8B0541E9A69037C21,"30日5980元4680元1100元10月1-4日6380元5080元1100元10月...山西旅游景点比较分散,景点之间路途较远,建议您准备一些晕车...",微信公众号
这才是9-10月(国庆)来山西旅游的正确打开方式,2025-10,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS8Yb2aZgmg8WD_VJk0Jxo7nMFPaYgvCOWVqXa8Fplpd9_lzoVLXFxFUmpCOmz1fqxTGedbMqyKOLYsNZZ-NOlo5O6dzcCKBhiNmapKzxYFGFh4HYthDDV0-bYVx_pUhMO53Ec-i1voShbo2-QVZlstk8Q7snFZIuQZP3Q_qezr7kUYJNDS1iNdBayYNUxpOWv7kwUwHb9keC43_b1WsxqcCjotuuiAmOIg..&type=2&query=%E5%B1%B1%E8%A5%BF%E6%97%85%E6%B8%B8 10%E6%9C%88&token=D11BA8892EAAA1C1B0B6F2CEC3DDF4E8B0541E9A69037C21,"9-10月准备到山西玩的宝子们~~详细的游玩攻略来啦!! 速来抄作业��分享给大家,一篇就能搞定�� 希望能帮到第一次来山西又...",微信公众号
山西10月旅游线路汇总(平遥古城◎乔家大院◎王家大院◎皇城相府◎波浪谷◎万年冰洞群◎西柏坡◎五台山◎悬空寺◎云冈石窟◎壶口飞瀑),2025-10,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS8Yb2aZgmg8WD_VJk0Jxo7nMFPaYgvCOWVqXa8Fplpd9tPp_WDrbCx2mXkR-BLA3ucm3JX4TjR8UoFaPBTaSI5FvJkb4AgnZxo123apF0CP5zYtZmwBagzMf-8vRdDENcPXV6PEAe6wokxbVLhbUNhzALA56ELZ-9P0vPC362sd19VcBEqZM3FF_KA352MfSo5n5qAyeeE5JswN81lPqUZPFcvUoAZZH7Q..&type=2&query=%E5%B1%B1%E8%A5%BF%E6%97%85%E6%B8%B8 10%E6%9C%88&token=D11BA8892EAAA1C1B0B6F2CEC3DDF4E8B0541E9A69037C21,"山西旅游“华夏古文明,山西好风光”,山西被称为“中国古代建筑艺术博物馆”,境内保存完好的宋、金以前的地面古建筑物占全...",微信公众号
10月5日山西旅游年卡最新消息:价格\预约方式\使用流程\办理指南,2025-10-05,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS8Yb2aZgmg8WD_VJk0Jxo7nMFPaYgvCOWVqXa8Fplpd9ut0AMjml7sU0pXoUqIGM2jVOCE_BZMeT3EUSjAD55FNaomGjA10aOEGju3NWrG-tYMoo4SFNkCbSLsYJ_FTzzUPSbCcy6AdDyZ0nrXh8WYM4_3Zbesot6kxs_JZU6d4M3v_KCZ7cCa6lgkePQ30FgGPQ9coywfvCvlaqYPKCC0TwdVqCwyPdzA..&type=2&query=%E5%B1%B1%E8%A5%BF%E6%97%85%E6%B8%B8 10%E6%9C%88&token=D11BA8892EAAA1C1B0B6F2CEC3DDF4E8B0541E9A69037C21,"【山西文旅年卡10月5日快讯】“表里山河”山西的人文底蕴与自然奇景,如今一张年卡即可轻松拥有.2025年山西文旅年卡以258元...",微信公众号
山西景区＂10·1＂火灾事故更多细节曝光!9月28日官方曾带队督查过消防安全!,2025-10-01,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS8Yb2aZgmg8Wob8k0tRQlRrMFPaYgvCOWVqXa8Fplpd99nyJgEwwQdQrFhvzSAFc4VZ3kJ5Dh2vSFAiCZGDsBkd0g5eZPFS0sXcGuII0_8-28m0tUtArUBr-wbzRCsoPfYVmFkvJ6dpHv0W3_G9WUfZnbCdQOtj0t-FoRKv0UaeKelXL-4PXWCuPOkBvMJwlHqkByyzllV2TOZU7EAoXWypFH6In5Ei3zg..&type=2&query=%E5%B1%B1%E8%A5%BF%E6%99%AF%E5%8C%BA 10%E6%9C%88&token=D11BC0632EAAA1C1B0B6F2CEC3DDF4E8B0541E9A69037C27,"10月1日13时4分,太原市迎泽区小山岩村台骀山景区冰灯雪雕馆发生火灾.当晚,山西省政府组织召开全省安全生产工作视频会议,...",微信公众号
别跑空!山西一景区10月25日起闭园,2025-10,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS8Yb2aZgmg8Wob8k0tRQlRrMFPaYgvCOWVqXa8Fplpd9lY6ytKYYwIk0vX9JqX4aVfzzU68VMilQZudzuZVfCZK3pbe3ooObaO3Y5CgFaYUmYjkZOTTmDvMGZnRg0vk3tfBU9QlRB4oo5BC22tgFgX8cLlFdsSUnXT5SxMXNGSalmL_vr796fpTcTYLQrfZeZSu9-wtqpbfFuuuAXdaI2qaE8RsmObDbtQ..&type=2&query=%E5%B1%B1%E8%A5%BF%E6%99%AF%E5%8C%BA 10%E6%9C%88&token=D11BC0632EAAA1C1B0B6F2CEC3DDF4E8B0541E9A69037C27,10月24日山西赤壁悬流旅游开发有限公司发布闭园通知景区内部将进行提档升级改造于10月25日起闭园山西赤壁悬流旅游开发有限公...,微信公众号
10月2日山西59个景区接待游客5.75万人次,2025-10-02,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS8Yb2aZgmg8Wob8k0tRQlRrMFPaYgvCOWVqXa8Fplpd9rpuNtip3TFe7Mo5OWHEVzTooJs1qrnaI4krlg-d-KYDcXZT8j5tf7QTrheLHzuRTRu96qnrzA_6vofiCa6JaI5r1yrPxSYcp_MMH1hAAh-6fSi1vG13wkIeuP_CC9LVWijgVDiy16PyHiTPpGZ_dvBaXFvE6J3DaSc4UqMd9izK54z_tGSZTqA..&type=2&query=%E5%B1%B1%E8%A5%BF%E6%99%AF%E5%8C%BA 10%E6%9C%88&token=D11BC0632EAAA1C1B0B6F2CEC3DDF4E8B0541E9A69037C27,"10月2日,国庆假期的第2天,全省文旅市场秩序良好、运行平稳,... 洪洞大槐树景区推出以“游山西过中秋回大槐树老家,迎国庆悦生...",微信公众号
山西新增“3+10”!省内多个景区、场馆临时关闭!,2025-10-02,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS8Yb2aZgmg8Wob8k0tRQlRrMFPaYgvCOWVqXa8Fplpd9uxiIS81ZW2LHdrd7ZZv_PPiydh3Jpm7VQ3Mtcly-fcZrSbK99NK8nUOxA8dzbzDG0wjcEIUUyffLTxeVTx6fy34m2c2l01CGvUylGJ7H7pntj9OaMbOmsh2B1tHMgM9OxE9MyD7pOYnWFpst6XP8XayzdtELz21nwEeqX25g_G8Cn9lOoZLP2Q..&type=2&query=%E5%B1%B1%E8%A5%BF%E6%99%AF%E5%8C%BA 10%E6%9C%88&token=D11BC0632EAAA1C1B0B6F2CEC3DDF4E8B0541E9A69037C27,太原市疫情防控领导小组办公室2022年10月2日近日山西省内多地出现本土疫情山西多个景区、场馆发布通告涉及临时闭馆或活动取消...,微信公众号
再翻番!10月4日山西重点景区接待游客20万+,2025-10-04,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS8Yb2aZgmg8Wob8k0tRQlRrMFPaYgvCOWVqXa8Fplpd9elfTRAWyL1xVY2cOsQtblZXcUCLF_4iu6I7EP-73nBJvZpu8EdwMmYv2CfOmRYK1thM99ybejKrMDS_p6I_gle-NCqa_rjXqzyXYhv0dggPe1_cxdDgePp-DYWg88JM0v0j8tQpbi7cT9g8xIJL-jeQ3kg3Oqh1kLRQtnw3rQCgY-UZGbO56rA..&type=2&query=%E5%B1%B1%E8%A5%BF%E6%99%AF%E5%8C%BA 10%E6%9C%88&token=D11BC0632EAAA1C1B0B6F2CEC3DDF4E8B0541E9A69037C27,"10月3日,游客在杀虎口景区内参观游玩.杀虎口建于明朝,古称参合口,因其特殊的地理位置,杀虎口闻名遐迩,已有两千多年历史...",微信公众号
"山西10月自驾游景点,十大必去打卡的地方,周边游玩好去处",2025-10,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS8Yb2aZgmg8Wob8k0tRQlRrMFPaYgvCOWVqXa8Fplpd9va1oV8WcGC7hjKsnUbWunio2p_6stEoqobhsztZV5LNr0tmCfHpsl0AXKv0mohkyoAcEWFmwvfWjyn5xpAQXvseT4Php52WQTF1Mds13GWyxd_Gw5MdiVa-oDe-1w-BifNcXPXIlZ6okdQlD-t7RLuSoFxP59PlBrV_Nc4OxLyz2CsG6-xMgzQ..&type=2&query=%E5%B1%B1%E8%A5%BF%E6%99%AF%E5%8C%BA 10%E6%9C%88&token=D11BC0632EAAA1C1B0B6F2CEC3DDF4E8B0541E9A69037C27,"山西是一个充满历史底蕴和自然风光的省份,拥有许多令人难以抗拒的旅游胜地.而在10月这个金秋时节,山西的景点更是各展风采,...",微信公众号
"10月3日,山西重点景区门票收入3916.09万元",2025-10-03,https://weixin.sogou.com/link?url=dn9a_-gY295K0Rci_xozVXfdMkSQTLW6cwJThYulHEtVjXrGTiVgS8Yb2aZgmg8Wob8k0tRQlRrMFPaYgvCOWVqXa8Fplpd9rpuNtip3TFe7Mo5OWHEVzTooJs1qrnaI4krlg-d-KYDcXZT8j5tf7cHjvVFGmDptEY9Y3eYgF4kypK8HHB6Uryypx1sA4Rq-FCF32PQbryr2ODb_FRQ4Ly9lGe6XJaML9vBpS16tXUbjWF77RWBUZKvl4JcWd0cZ8kVOS1V2H4j0OK9DLfgmPA..&type=2&query=%E5%B1%B1%E8%A5%BF%E6%99%AF%E5%8C%BA 10%E6%9C%88&token=D11BC0632EAAA1C1B0B6F2CEC3DDF4E8B0541E9A69037C27,"10月3日,在石楼县黄河奇湾景区,来自全国各地的游客在此欢度国庆,与国旗合影留念,为祖国献上最诚挚的祝福.记者 刘通摄10月...",微信公众号
